,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Carnarvon,64,AU,1621730185,64,-24.8667,113.6333,73.47,11.5
1,Hervey Bay,10,AU,1621730657,77,-25.2986,152.8535,71.01,5.99
2,Port Elizabeth,0,ZA,1621730289,76,-33.918,25.5701,50.0,5.75
3,Rio Bananal,100,BR,1621730658,83,-19.265,-40.3333,69.64,2.66
4,Roald,13,NO,1621730658,100,62.5833,6.1333,51.33,10.36
5,Bogdăniţa,100,RO,1621730659,74,46.45,27.6833,58.91,1.81
6,Rocha,100,UY,1621730659,77,-34.4833,-54.3333,52.5,16.96
7,Vaini,75,TO,1621730170,94,-21.2,-175.2,78.96,3.44
8,Bluff,1,NZ,1621730186,72,-46.6,168.3333,49.8,11.23
9,Upernavik,43,GL,1621730225,92,72.7868,-56.1549,25.88,9.01
10,Provideniya,100,RU,1621730231,73,64.3833,-173.3,38.17,5.5
11,Lavrentiya,21,RU,1621730222,88,65.5833,-171.0,33.15,2.08
12,Mar del Plata,90,AR,1621730063,63,-38.0023,-57.5575,58.08,25.99
13,Ushuaia,40,AR,1621729892,93,-54.8,-68.3,37.06,1.14
14,Kovūr,100,IN,1621730483,64,14.4833,79.9833,81.03,4.63
15,Avarua,99,CK,1621730172,69,-21.2078,-159.775,80.65,13.8
16,Thompson,20,CA,1621730166,28,55.7435,-97.8558,53.76,4.61
17,Port Alfred,0,ZA,1621730188,71,-33.5906,26.891,55.4,10.92
18,Castro,34,BR,1621730175,97,-24.7911,-50.0119,59.86,7.27
19,Mildura,100,AU,1621730661,45,-34.2,142.15,66.99,8.05
20,Puerto Ayora,15,EC,1621730176,87,-0.7393,-90.3518,74.55,3.0
21,Cape Town,0,ZA,1621730181,58,-33.9258,18.4232,53.11,4.43
22,Kamaishi,100,JP,1621730192,96,39.2667,141.8833,61.75,4.12
23,Acapulco de Juárez,1,MX,1621730380,60,16.8634,-99.8901,85.82,8.79
24,Grimshaw,75,CA,1621730314,14,56.1834,-117.6027,75.2,9.22
25,Lompoc,1,US,1621730169,65,34.6391,-120.4579,71.56,12.66
26,Requena,100,ES,1621730663,90,39.4883,-1.1004,58.14,8.19
27,Vardø,100,NO,1621730177,61,70.3705,31.1107,34.32,19.01
28,Ranong,99,TH,1621730663,84,9.9658,98.6348,75.13,7.63
29,Port Hardy,20,CA,1621730214,72,50.6996,-127.4199,57.38,19.57
30,Cloquet,75,US,1621730664,69,46.7216,-92.4594,80.13,0.0
31,Mount Isa,0,AU,1621730221,43,-20.7333,139.5,74.97,10.36
32,Rikitea,2,PF,1621730187,68,-23.1203,-134.9692,76.64,14.03
33,Ancud,90,CL,1621730263,93,-41.8697,-73.8203,51.01,8.05
34,Bredasdorp,6,ZA,1621730174,75,-34.5322,20.0403,48.27,4.32
35,Tuktoyaktuk,75,CA,1621730309,75,69.4541,-133.0374,39.2,19.57
36,Cabo San Lucas,1,MX,1621730019,32,22.8909,-109.9124,89.62,10.36
37,North Battleford,1,CA,1621730665,41,52.7834,-108.2847,57.29,16.11
38,Barrow,90,US,1621730166,93,71.2906,-156.7887,33.82,5.75
39,Arraial do Cabo,98,BR,1621730170,79,-22.9661,-42.0278,74.8,5.55
40,Nanortalik,100,GL,1621730221,68,60.1432,-45.2371,34.23,5.97
41,Punta Arenas,0,CL,1621729944,89,-53.15,-70.9167,37.11,5.48
42,Shemonaīkha,9,KZ,1621730666,72,50.6328,81.9056,54.84,3.49
43,Valdivia,90,CL,1621730401,100,-39.8142,-73.2459,46.4,2.3
44,Chokurdakh,94,RU,1621730236,87,70.6333,147.9167,29.62,5.75
45,Chui,53,UY,1621730182,72,-33.6971,-53.4616,52.86,17.94
46,Kaitangata,14,NZ,1621730232,60,-46.2817,169.8464,53.92,5.46
47,Mataura,12,NZ,1621730179,66,-46.1927,168.8643,49.48,2.13
48,Nyurba,13,RU,1621730667,37,63.2842,118.3319,53.56,1.86
49,Tawang Town,0,IN,1621730668,60,27.5833,91.8667,59.25,1.39
50,Tiksi,98,RU,1621730288,79,71.6872,128.8694,28.38,4.32
51,Atuona,6,PF,1621730171,68,-9.8,-139.0333,80.51,14.79
52,Valleyview,72,CA,1621730668,18,55.0667,-117.2859,71.64,10.36
53,Mattru,98,SL,1621730669,96,7.6244,-11.8332,75.29,0.96
54,Ribeira Grande,18,PT,1621730200,62,38.5167,-28.7,59.34,8.16
55,Cabra,100,ES,1621730669,35,37.4725,-4.4421,67.44,3.71
56,Richards Bay,88,ZA,1621730199,85,-28.783,32.0377,61.21,4.05
57,Ipixuna,100,BR,1621730670,94,-1.7625,-48.8043,80.55,4.0
58,Hobart,20,AU,1621730170,78,-42.8794,147.3294,58.26,3.0
59,Mahébourg,75,MU,1621730211,94,-20.4081,57.7,69.26,3.44
60,Busselton,76,AU,1621729981,61,-33.65,115.3333,59.92,10.8
61,Verkhoyansk,49,RU,1621730670,40,67.5447,133.385,41.79,4.65
62,Half Moon Bay,40,US,1621730180,80,37.4636,-122.4286,75.67,9.22
63,Kisangani,100,CD,1621730671,99,0.5167,25.2,70.5,2.21
64,New Norfolk,16,AU,1621730204,74,-42.7826,147.0587,57.92,2.01
65,Bayan,100,CN,1621730672,50,46.0833,127.4,75.54,22.55
66,Qaanaaq,100,GL,1621730207,82,77.484,-69.3632,24.51,3.11
67,Jamestown,90,US,1621729916,73,42.097,-79.2353,74.52,6.91
68,Bandar-e Lengeh,0,IR,1621730672,78,26.5579,54.8807,80.71,4.61
69,Conceição do Araguaia,0,BR,1621730522,83,-8.2578,-49.2647,78.93,2.3
70,Kapaa,40,US,1621730193,68,22.0752,-159.319,82.38,3.0
71,Hermanus,0,ZA,1621730181,60,-34.4187,19.2345,52.9,7.74
72,Albany,15,US,1621729973,74,42.6001,-73.9662,78.75,9.98
73,Hofn,88,IS,1621730355,74,64.2539,-15.2082,41.0,15.23
74,Butaritari,100,KI,1621730211,78,3.0707,172.7902,83.71,17.47
75,Khanbari,58,NP,1621730674,75,27.3747,87.2039,74.82,0.96
76,Gigmoto,0,PH,1621730674,65,13.7796,124.39,85.91,4.83
77,Salalah,40,OM,1621730235,79,17.0151,54.0924,84.29,5.75
78,Ilulissat,75,GL,1621730238,74,69.2167,-51.1,28.42,4.61
79,Makkah al Mukarramah,55,SA,1621730675,47,21.4267,39.8261,83.1,2.04
80,Saldanha,78,ZA,1621730309,52,-33.0117,17.9442,50.05,8.32
81,Kamenka,100,RU,1621730261,90,51.3223,42.7678,58.21,14.7
82,Geraldton,90,AU,1621730163,62,-28.7667,114.6,66.13,13.04
83,Coquimbo,0,CL,1621730610,76,-29.9533,-71.3436,55.4,4.61
84,Kabul,100,AF,1621730419,49,34.5,69.4167,57.6,2.21
85,Río Gallegos,75,AR,1621730241,93,-51.6226,-69.2181,39.25,4.61
86,Broken Hill,100,AU,1621730202,42,-31.95,141.4333,62.31,11.5
87,Namatanai,100,PG,1621730321,77,-3.6667,152.4333,82.96,2.37
